,text,sentiment,sentiment_id
0,Mortar assault leaves at least 18 dead,sadness,4
1,Goal delight for Sheva,joy,3
2,Nigeria hostage feared dead is freed,joy,3
3,Bombers kill shoppers,fear,2
4,"Vegetables, not fruit, slow brain decline",surprise,5
5,PM: Havana deal a good experiment,joy,3
6,Kate is marrying Doherty,joy,3
7,NASA revisiting life on Mars question,surprise,5
8,"Happy birthday, iPod",joy,3
9,Alonso would be happy to retire with three titles,joy,3
10,Madonna's New Tot 'Happy at Home' in London,joy,3
11,Nicole Kidman asks dad to help stop husband's drinking,sadness,4
12,United Finds Good Connection in Win,joy,3
13,'Runway': Making Good Without Making Nice,joy,3
14,"We were 'arrogant and stupid' over Iraq, says US diplomat",sadness,4
15,Bad reasons to be good,sadness,4
16,Madonna's new baby's daddy didn't realize adoption was `for good',surprise,5
17,Women in their 60s 'are perfectly good mothers',sadness,4
18,We're a pretty kind 'bully',joy,3
19,Moderate drinking reduces men's heart attack risk,joy,3
20,Tom Cruise and Katie Holmes set wedding date,joy,3
21,Kidnapped AP photographer freed in Gaza,fear,2
22,"Bush Insists Troops Stay in Iraq, Predicts Midterm Victory",disgust,1
23,Hurricane Paul Weakens To Tropical Storm,surprise,5
24,UK announces immigration restrictions,anger,0
25,Three found alive from missing Russian ship -report,joy,3
26,Poison Pill to Swallow: Hawks Hurting After Loss to Vikes,sadness,4
27,Injured Marathon Winner Leaves Hospital,joy,3
28,Hacker unlocks Apple music download protection,surprise,5
29,Spanish journalist seized in Gaza,fear,2
30,Sudan urges UN to replace its special envoy,surprise,5
31,Resolution approved for international games,joy,3
32,Pair of Satellites Will Document Sun in 3-D,joy,3
33,Martian Life Could Have Evaded Detection by Viking Landers,surprise,5
34,The sweet tune of an anniversary,joy,3
35,Did Viking Probes Miss Life on Mars?,surprise,5
36,Diplomat acknowledges US arrogance in Iraq,anger,0
37,More Human Remains Found at Ground Zero,sadness,4
38,How to Prevent Iraq From Getting Even Worse,fear,2
39,Tensions as Hungary marks uprising,fear,2
40,Stanford study warns of Internet addiction,fear,2
41,No evidence of ice reserves on the moon,sadness,4
42,A Picture and A Thousand Words,anger,0
43,Parachutist dies at bridge-jump festival,sadness,4
44,US Troops Killed In October In Iraq,sadness,4
45,"Chefs not counting calories, study finds",sadness,4
46,Deaths linked to flu vaccine,sadness,4
47,Perfect lives lose their focus,joy,3
48,Bread-Heavy Diet Linked to Kidney Cancer,fear,2
49,Beating poverty in a small way,joy,3
50,Israel insists on Lebanon overflights,anger,0
51,Britain to restrict immigrants from new EU members,disgust,1
52,Confusion Reigns In the Expanding Digital World,surprise,5
53,Game on! London exhibition celebrates the history of video games,joy,3
54,Making peace from victory over poverty,joy,3
55,Marine killed in fighting west of Baghdad,sadness,4
56,Scientists create first cloaking device,joy,3
57,Amateur rocket scientists reach for space,joy,3
58,Confusion Reigns In the Expanding Digital World,surprise,5
59,Deaths linked to flu vaccine,sadness,4
60,Israel admits using phosphorous shells in Lebanon,sadness,4
61,4th person dies after receiving flu shot,sadness,4
62,Police and shoppers targeted in growing Iraq violence,fear,2
63,Scientists discover miracle in the depths,surprise,5
64,Doctors Seeing Patients Who Think They're Internet Addicted,sadness,4
65,China launches two satellites into orbit,joy,3
66,Vegetables May Boost Brain Power in Older Adults,surprise,5
67,Hurricane Paul nears Category 3 status,fear,2
68,"Russian ship sinks, 18-member crew missing",sadness,4
69,Iran's president urges higher birth rate,surprise,5
70,Apple set for massive market gains,joy,3
71,Tumor Types May Explain Survival Rates for Cancer,sadness,4
72,Routine mission turns into hunt for missing comrade,sadness,4
73,Bad weather slows S.Korean search for Russian ship,sadness,4
74,Tailors and housewives busy as Muslims celebrate Eid,joy,3
75,Active peace brings the promise of development,joy,3
76,Abbas condemns Israeli massacre in northern Gaza Strip,disgust,1
77,"Bangladesh ferry sinks, 15 dead",sadness,4
78,Bucs find a new kick in life,joy,3
79,Google to unveil election mashup,surprise,5
80,Police warn of child exploitation online,disgust,1
81,Breast Cancer Awareness is Important,fear,2
82,Hungary police tackle violent protestors,sadness,4
