,Unnamed: 0,text,sentiment_id,sentiment
0,0,"""It is very unpleasant, I am afraid of the police,"" said Pickles.",3,Fearful
1,1,"Pickles nearly had a fit, he barked and he barked and made little rushes.",2,Angry-Disgusted
2,2,He shut the door in Nutkin's face.,2,Angry-Disgusted
3,3,Old Mr. Brown turned up his eyes in disgust at the impertinence of Nutkin.,2,Angry-Disgusted
4,4,"And to this day, if you meet Nutkin up a tree and ask him a riddle, he will throw sticks at you, and stamp his feet and scold, and shout--",2,Angry-Disgusted
5,5,"""I am dreadfully afraid it WILL be mouse!"" said Duchess to herself--""I really couldn't, COULDN'T eat mouse pie.",3,Fearful
6,6,"""Quite well, I thank you, and how do YOU do, my dear Ribby?"" said Duchess.",4,Happy
7,7,"""I've brought you some flowers; what a delicious smell of pie!""",4,Happy
8,8,"""Oh, what lovely flowers!",4,Happy
9,9,"Oh, my dear Ribby, I do feel so ill!""",3,Fearful
10,10,"""Oh I do feel so ill ALL OVER me, my dear Ribby.""",3,Fearful
11,11,"But while Ribby had been hunting for the doctor--a curious thing had happened to Duchess, who had been left by herself, sitting before the fire, sighing and groaning and feeling very unhappy.",3,Fearful
12,12,"""How COULD I have swallowed it! such a large thing as a patty-pan!""",7,Surprised
13,13,"She sat down again, and stared mournfully at the grate.",6,Sad
14,14,Duchess started!,7,Surprised
15,15,"""I am truly glad to hear it!",4,Happy
16,16,"Ribby and Duchess said good-bye affectionately, and Duchess started home.",4,Happy
17,17,"Ribby stared with amazement-- ""Did you ever see the like! so there really WAS a patty-pan?",7,Surprised
18,18,Mrs. Tabitha became more and more distracted and mewed dreadfully.,3,Fearful
19,19,"But just at that moment somebody knocked at the front door, and Moppet jumped into the flour barrel in a fright.",3,Fearful
20,20,Mittens ran away to the dairy and hid in an empty jar on the stone shelf where the milk pans stand.,3,Fearful
21,21,"I'm in sad trouble, Cousin Ribby,"" said Tabitha, shedding tears.",6,Sad
22,22,"""He's a bad kitten, Cousin Tabitha; he made a cat's cradle of my best bonnet last time I came to tea.",2,Angry-Disgusted
23,23,"""The chimney wants sweeping-- Oh, dear me, Cousin Ribby--now Moppet and Mittens are gone!",7,Surprised
24,24,"""Yes, it is infested with rats,"" said Tabitha tearfully.",6,Sad
25,25,"""The rats get upon my nerves, Cousin Ribby,"" said Tabitha.",2,Angry-Disgusted
26,26,She seemed to be in a terrible fright.,3,Fearful
27,27,"""Oh, Mother, Mother!"" said Mittens--",3,Fearful
28,28,"""Oh!",3,Fearful
29,29,"Oh, my poor son Thomas!"" exclaimed Tabitha, wringing her paws.",3,Fearful
30,30,Tom Kitten was getting very frightened!,3,Fearful
31,31,"There was less smoke, but Tom Kitten felt quite lost.",3,Fearful
32,32,I wish I had never come!,3,Fearful
33,33,"""What do you mean by tumbling into my bed all covered with smuts?"" said the rat, chattering his teeth.",2,Angry-Disgusted
34,34,"""Nonsense!",2,Angry-Disgusted
35,35,"While Tom Kitten was left alone under the floor of the attic, he wriggled about and tried to mew for help.",3,Fearful
36,36,Tom Kitten wriggled and squirmed until he was quite exhausted.,3,Fearful
37,37,"Tom Kitten bit and spit, and mewed and wriggled; and the rolling pin went roly-poly, roly; roly-poly, roly.",2,Angry-Disgusted
38,38,"Anna Maria was about to argue the point when all at once there began to be other sounds up above--the rasping noise of a saw, and the noise of a little dog, scratching and yelping!",7,Surprised
39,39,"As for Farmer Potatoes, he has been driven nearly distracted.",2,Angry-Disgusted
40,40,It feels sad.,6,Sad
41,41,And then all of a sudden--Miss Moppet jumps upon the Mouse!,7,Surprised
42,42,But she forgot about that hole in the duster; and when she untied it-- there was no Mouse!,7,Surprised
43,43,He has wriggled out and run away; and he is dancing a jig on top of the cupboard!,4,Happy
44,44,"The tailor replied: ""Simpkin, we shall make our fortune, but I am worn to a ravelling.",6,Sad
45,45,"Then the tailor started; for suddenly, interrupting him, from the dresser at the other side of the kitchen came a number of little noises--",7,Surprised
46,46,"""This is passing extraordinary!"" said the Tailor of Gloucester, and turned over another tea-cup, which was upside down.",7,Surprised
47,47,"But Simpkin hid a little parcel privately in the tea-pot, and spit and growled at the tailor; and if Simpkin had been able to talk, he would have asked: ""Where is my MOUSE?""",2,Angry-Disgusted
48,48,"""Alack, I am undone!"" said the Tailor of Gloucester, and went sadly to bed.",6,Sad
49,49,"The poor old tailor was very ill with a fever, tossing and turning in his four-post bed; and still in his dreams he mumbled: ""No more twist! no more twist!""",6,Sad
50,50,"The little mice only laughed, and tried another tune--",4,Happy
51,51,"""Alack,"" said the tailor, ""I have my twist; but no more strength--nor time--than will serve to make me one single buttonhole; for this is Christmas Day in the Morning!",6,Sad
52,52,Little Benjamin did not very much want to see his Aunt.,2,Angry-Disgusted
53,53,Peter did not seem to be enjoying himself; he kept hearing noises.,3,Fearful
54,54,"Benjamin, on the contrary, was perfectly at home, and ate a lettuce leaf.",4,Happy
55,55,Peter did not eat anything; he said he should like to go home.,3,Fearful
56,56,Peter heard noises worse than ever; his eyes were as big as lolly-pops!,3,Fearful
57,57,The cat was too much surprised to scratch back.,7,Surprised
58,58,When Mr. McGregor returned about half an hour later he observed several things which perplexed him.,7,Surprised
59,59,"Listen to the story of Jemima Puddle-duck, who was annoyed because the farmer's wife would not let her hatch her own eggs.",2,Angry-Disgusted
60,60,She rather fancied a tree stump amongst some tall foxgloves.,4,Happy
61,61,"But--seated upon the stump, she was startled to find an elegantly dressed gentleman reading a newspaper.",7,Surprised
62,62,Jemima complained of the superfluous hen.,2,Angry-Disgusted
63,63,Jemima Puddle-duck was rather surprised to find such a vast quantity of feathers.,7,Surprised
64,64,The foxy gentleman admired them immensely.,4,Happy
65,65,When Jemima alighted he quite jumped.,7,Surprised
66,66,Jemima became much alarmed.,3,Fearful
67,67,"""What a mercy that was not a pike!"" said Mr. Jeremy Fisher.",4,Happy
68,68,"One day little Lucie came into the farm-yard crying--oh, she did cry so!",6,Sad
69,69,"A little frightened voice called out ""Who's that?""",3,Fearful
70,70,"There was a nice hot singey smell; and at the table, with an iron in her hand, stood a very stout short person staring anxiously at Lucie.",3,Fearful
71,71,"Her little black nose went sniffle, sniffle, snuffle, and her eyes went twinkle, twinkle; and underneath her cap-where Lucie had yellow curls-that little person had PRICKLES!",7,Surprised
72,72,"""Oh that IS lovely!"" said Lucie.",4,Happy
73,73,And she gave them their nice clean clothes; and all the little animals and birds were so very much obliged to dear Mrs. Tiggy-winkle.,4,Happy
74,74,"""Go away, you bold bad spider!",2,Angry-Disgusted
75,75,Mrs. Tittlemouse looked at her severely.,2,Angry-Disgusted
76,76,Mrs. Tittle- mouse began to get cross.,2,Angry-Disgusted
77,77,"""I am not in the habit of letting lodgings; this is an intrusion!"" said Mrs. Tittlemouse.",2,Angry-Disgusted
78,78,"He was sitting all over a small rocking chair, twiddling his thumbs and smiling, with his feet on the fender.",4,Happy
79,79,"""Thank you, thank you, thank you, Mrs. Tittlemouse!",4,Happy
80,80,"He sat and smiled, and the water dripped off his coat tails.",4,Happy
81,81,"""Thank you, thank you, Mrs. Tittlemouse!",4,Happy
82,82,"""Thank you, thank you, thank you, Mrs. Tittlemouse!",4,Happy
83,83,"Now what I really--REALLY should like-- would be a little dish of honey!""",4,Happy
84,84,"""Get out, you nasty old toad!"" shrieked Babbitty Bumble.",2,Angry-Disgusted
85,85,"""I shall go distracted!"" scolded Mrs. Tittlemouse.",2,Angry-Disgusted
86,86,"But the untidiness was something dreadful--""Never did I see such a mess--smears of honey; and moss, and thistledown--and marks of big and little dirty feet-- all over my nice clean house!""",2,Angry-Disgusted
87,87,The rabbits could not bear him; they could smell him half a mile off.,2,Angry-Disgusted
88,88,Old Mr. Bouncer coughed and laughed; and Tommy Brock puffed and grinned.,4,Happy
89,89,"And Mr. Bouncer laughed and coughed, and shut his eyes because of the cabbage smoke ..........",4,Happy
90,90,"He was in disgrace; Flopsy wrung her ears, and slapped him.",2,Angry-Disgusted
91,91,"What a nasty person!"" said Peter.",2,Angry-Disgusted
92,92,"He had nodded, and pointed to the sack, and seemed doubled up with laughing.--""Come away, Peter; he will be cooking them; come quicker!"" said Benjamin Bunny.",3,Fearful
93,93,"When they came near the wood at the top of Bull Banks, they went cautiously.",3,Fearful
94,94,"The rabbits crept up carefully, listening and peeping.",3,Fearful
95,95,The rabbits shivered in their shoes.,3,Fearful
96,96,The young family were alive; shut up in the oven!,7,Surprised
97,97,"Benjamin was so excited that it was a mercy he did not awake Tommy Brock, whose snores continued solemnly in Mr. Tod's bed.",4,Happy
98,98,Then those two rabbits lost their heads completely.,3,Fearful
99,99,"Mr. Tod was coming up Bull Banks, and he was in the very worst of tempers.",2,Angry-Disgusted
100,100,First he had been upset by breaking the plate.,2,Angry-Disgusted
101,101,Mr. Tod had had an unsatisfactory night.,2,Angry-Disgusted
102,102,He made his way up the hill; his temper was not improved by noticing unmistakable marks of badger.,2,Angry-Disgusted
103,103,Mr. Tod slapped his stick upon the earth and fumed; he guessed where Tommy Brock had gone to.,2,Angry-Disgusted
104,104,He was further annoyed by the jay bird which followed him persistently.,2,Angry-Disgusted
105,105,The sight that met Mr. Tod's eyes in Mr. Tod's kitchen made Mr. Tod furious.,2,Angry-Disgusted
106,106,His whiskers bristled and his coat collar stood on end with rage.,2,Angry-Disgusted
107,107,"When he was outside the house, he scratched up the earth with fury.",2,Angry-Disgusted
108,108,"The moment he had gone, Tommy Brock got up in a hurry; he rolled Mr. Tod's dressing-gown into a bundle, put it into the bed beneath the pail of water instead of himself, and left the room also-- grinning immensely.",4,Happy
109,109,"At last the rope gave way with such a sudden jerk that it nearly pulled his teeth out, and quite knocked him over backwards.",7,Surprised
110,110,He was quite dry himself and grinning; and he threw the cup of scalding tea all over Mr. Tod.,4,Happy
111,111,"Then Mr. Tod rushed upon Tommy Brock, and Tommy Brock grappled with Mr. Tod amongst the broken crockery, and there was a terrific battle all over the kitchen.",2,Angry-Disgusted
112,112,"They crept out of their tunnel, and hung about amongst the rocks and bushes, listening anxiously.",3,Fearful
113,113,The rabbit babies in the oven woke up trembling; perhaps it was fortunate they were shut up inside.,3,Fearful
114,114,But Benjamin was frightened--,3,Fearful
115,115,"""Oh; oh! they are coming back!""",3,Fearful
116,116,"After quarreling at supper, Flopsy and old Mr. Bouncer had passed a sleepless night, and quarrelled again at breakfast.",2,Angry-Disgusted
117,117,"In Mr. Tod's kitchen, amidst the wreckage, Benjamin Bunny picked his way to the oven nervously, through a thick cloud of dust.",3,Fearful
118,118,Great was old Mr. Bouncer's relief and Flopsy's joy when Peter and Benjamin arrived in triumph with the young family.,4,Happy
119,119,"But round the end of a cucumber frame, whom should he meet but Mr. McGregor!",7,Surprised
120,120,"Peter was most dreadfully frightened; he rushed all over the garden, for he had forgotten the way back to the gate.",3,Fearful
121,121,"Peter gave himself up for lost, and shed big tears; but his sobs were overheard by some friendly sparrows, who flew to him in great excitement, and implored him to exert himself.",6,Sad
122,122,"Peter sat down to rest; he was out of breath and trembling with fright, and he had not the least idea which way to go.",3,Fearful
123,123,Peter began to cry.,6,Sad
124,124,"The eight little pigs had very fine appetites--""Yus, yus, yus! they eat and indeed they DO eat!"" said Aunt Pettitoes, looking at her family with pride.",4,Happy
125,125,Suddenly there were fearful squeals; Alexander had squeezed inside the hoops of the pig trough and stuck.,3,Fearful
126,126,"Aunt Pettitoes wiped her eyes with a large pocket handkerchief, then she wiped Pigling Bland's nose and shed tears; then she wiped Alexander's nose and shed tears; then she passed the handkerchief to Spot.",6,Sad
127,127,"Aunt Pettitoes sighed and grunted, and addressed those little pigs as follows--",6,Sad
128,128,"Pigling Bland who was a sedate little pig, looked solemnly at his mother, a tear trickled down his cheek.",6,Sad
129,129,Alexander went into squeals of laughter.,4,Happy
130,130,Pigling Bland reproved Alexander.,2,Angry-Disgusted
131,131,"But presently they made it up again, and trotted away together, singing--",4,Happy
132,132,"Pigling Bland was shocked, there was little hope of sleeping in Market Town, and tomorrow was the hiring fair; it was deplorable to think how much time had been wasted by the frivolity of Alexander.",7,Surprised
133,133,"Pigling Bland became frightened and cried ""Wee, wee, wee!",3,Fearful
134,134,"I can't find my way home!""",3,Fearful
135,135,"He saw a small wooden hut, made his way to it, and crept inside --""I am afraid it IS a hen house, but what can I do?"" said Pigling Bland, wet and cold and quite tired out.",6,Sad
136,136,"""Trap, trap, trap! cackle, cackle, cackle!"" scolded the disturbed cockerel.",2,Angry-Disgusted
137,137,"Pigling Bland, much alarmed, determined to leave at daybreak.",3,Fearful
138,138,A perfectly lovely little black Berkshire pig stood smiling beside him.,4,Happy
139,139,Pig-wig looked anxious.,3,Fearful
140,140,"""I thought you had eaten them?"" said Pigling, waking suddenly.",7,Surprised
141,141,"I have tooth- ache,"" said Pigling much dismayed.",6,Sad
142,142,He was afraid to go to sleep himself; for the rest of the night he sat listening to the chirping of the crickets and to the snores of Mr. Piperson overhead.,3,Fearful
143,143,"She dropped Pigling's hand and commenced to dance, singing-- presently.",4,Happy
144,144,Pigling Bland refused quite crossly.,2,Angry-Disgusted
145,145,"And in sight of the bridge!"" said poor Pigling, nearly crying.",3,Fearful
146,146,"They came to the river, they came to the bridge--they crossed it hand in hand--then over the hills and far away she danced with Pigling Bland!",4,Happy
147,147,"They had a large family, and they were very improvident and cheerful.",4,Happy
148,148,The little Flopsy Bunnies slept delightfully in the warm sun.,4,Happy
149,149,The little rabbits smiled sweetly in their sleep under the shower of grass; they did not awake because the lettuces had been so soporific.,4,Happy
150,150,What's that?,7,Surprised
151,151,When she felt the vegetables she became very very angry.,2,Angry-Disgusted
152,152,And Mr. McGregor was very angry too.,2,Angry-Disgusted
153,153,"Timmy coughed and groaned, because his ribs hurted him.",6,Sad
154,154,It laughed and chuckled when it heard Timmy's story.,4,Happy
155,155,"My wife will be anxious!""",3,Fearful
156,156,"Chippy Hackee was not too fat, but he did not want to come; he stayed down below and chuckled.",4,Happy
157,157,Chippy Hackee went home in a hurry!,3,Fearful
158,158,They had very small eyes and looked surprised.,7,Surprised
159,159,Mittens laughed so that she fell off the wall.,4,Happy
160,160,"""It's a very fine morning!"" said Mr. Drake Puddle-duck.",4,Happy
161,161,"She pulled them off the wall, smacked them, and took them back to the house.",2,Angry-Disgusted
162,162,"""My friends will arrive in a minute, and you are not fit to be seen; I am affronted,"" said Mrs. Tabitha Twitchit.",2,Angry-Disgusted
163,163,Tom Thumb and Hunca Munca went cautiously across the hearthrug.,3,Fearful
164,164,Then they squeaked with joy!,4,Happy
165,165,Then Tom Thumb lost his temper.,2,Angry-Disgusted
166,166,Then there was no end to the rage and disappointment of Tom Thumb and Hunca Munca.,2,Angry-Disgusted
167,0,"It became a splendid flower-garden to the sick boy, and his little treasure upon earth.",4,Happy
168,1,"The flower entwined itself even in his dreams- for him it bloomed, for him spread its perfume.",4,Happy
169,2,"And it gladdened his eyes, and to the flower he turned, even in death, when the Lord called him.",4,Happy
170,3,"During that time the flower has stood in the window, withered and forgotten, till at length cast out among the sweepings into the street, on the day of the lodgers' removal.",6,Sad
171,4,"Then the child opened his eyes and looked into the glorious happy face of the angel, and at the same moment they found themselves in that heavenly home where all is happiness and joy.",4,Happy
172,5,"Then it joined in the song of the angels, who surrounded the throne, some near, and others in a distant circle, but all equally happy.",4,Happy
173,6,"They all joined in the chorus of praise, both great and small,- the good, happy child, and the poor field-flower, that once lay withered and cast away on a heap of rubbish in a narrow, dark street.",4,Happy
174,7,"Then he would cry, but what nobody knows nobody cares for; so he would cry till he was tired, and then fall asleep; and while we are asleep we can feel neither hunger nor thirst.",6,Sad
175,8,"Her beautiful, noble child had been a dear angel, and possessed the kindest heart; he had loved her so much, and she had loved him in return; they had kissed and loved each other, and the boy had been her joy, her second life.",4,Happy
176,9,"Anne Lisbeth went forth from the castle into the public road, feeling mournful and sad; he whom she had nursed day and night, and even now carried about in her dreams, had been cold and strange, and had not a word or thought respecting her.",6,Sad
177,10,"She felt very low-spirited, because her count-child had shown no inclination to speak to her who loved him so well, and who had travelled so far to see him.",6,Sad
178,11,"Only tangled grass, and yet she was frightened at it.",3,Fearful
179,12,"As these thoughts passed through her mind, fear gave speed to her feet, so that she walked faster and faster.",3,Fearful
180,13,"Fear came upon her as if a cold, clammy hand had been laid upon her heart, so that she almost fainted.",3,Fearful
181,14,"It was the first hour of her awakening, full of anguish and horror.",3,Fearful
182,15,Superstition made her alternately shudder with cold or burn with the heat of fever.,3,Fearful
183,16,"""A grave! dig me a grave!"" still sounded in her ears; she was fearful that the cock might crow, and the first red streak appear in the east, before she had finished her work; and then she would be lost.",3,Fearful
184,17,"""Now I am in the house of God,"" she said, ""and in that house we are happy.""",4,Happy
185,18,"""A difference!"" cried the sunbeam, as he kissed the blooming apple-branch, and then kissed the yellow dandelion out in the fields.",7,Surprised
186,19,"There came presently across the fields a whole group of children, the youngest of whom was so small that it had to be carried by the others; and when he was seated on the grass, among the yellow flowers, he laughed aloud with joy, kicked out his little legs, rolled about, plucked the yellow flowers, and kissed them in childlike innocence.",4,Happy
187,20,"But inside the church the pastor stood in the pulpit, and spoke very loudly and angrily.",2,Angry-Disgusted
188,21,"He spoke very excitedly, saying that their evil propensities would not be destroyed, nor would the fire be extinguished, and they should never find rest.",2,Angry-Disgusted
189,22,"It was dreadful to hear all that, for the preacher spoke from his heart, and all the people in the church were terrified.",3,Fearful
190,23,"And the blood rose to the head of the excited criminal; he threw himself upon his comrade, and beat him with his clenced fist in the face.",2,Angry-Disgusted
191,24,"The pastor's hand trembled; he dared not stretch it out, he did not venture to pull a hair out of the sinner's head.",3,Fearful
192,25,"Mr. Alfred again spoke of Italy, and of the glorious colors in Italian scenery; the purple hills, the deep blue of the Mediterranean, the azure of southern skies, whose brightness and glory could only be surpassed in the north by the deep-blue eyes of a maiden; and he said this with a peculiar intonation; but she who should have understood his meaning looked quite unconscious of it, which also was charming.",4,Happy
193,26,"The young man felt the truth of the proverb, ""Still waters run deep:"" and his heart had sunk into their depths.",4,Happy
194,27,"""Good heavens!"" she exclaimed.",7,Surprised
195,28,"He placed a pencil sketch on the table; and mamma, who had been over-powered with the appearance of the colored plates, threw a glance at the pale drawing and cried in astonishment, ""What, did you see it throw up white fire?""",7,Surprised
