,text,labels1,labels2
0,@Adnan__786__ @AsYouNotWish Dont worry Indian army is on its ways to dispatch all Terrorists to Hell,anticipation,trust
1,"Academy of Sciences, eschews the normally sober tone of scientific papers and calls the massive loss of wildlife a “biological annihilation",disgust,disgust
2,I blew that opportunity -__- #mad,disgust,disgust
3,"@POLITICOEurope Interesting choice of words... Are you confirming that governments fund #terrorism? Bit of an open door, but still...",disgust,disgust
4,@xxBambsxx @OriginalFunko @AshWillBradley @Elliewhitt123 I've retweeted and followed #good luck @AshWillBradley @OriginalFunko,anticipation,anticipation
5,"Bitter afternoon,no sweetness at all #Lenovo",disgust,disgust
6,We are all in this together and we #sink together or we #swim together,anticipation,anticipation
7,Life will be more #beautiful when you start seeing things differently.,anticipation,anticipation
8,i am revolting.,disgust,disgust
9,"wow, i really can't believe four years already went by. four years. jeez. we miss you big guy #4yearswithoutcory #corymonteith #glee",surprise,surprise
10,@rtenews ...middle class may sink without further struggles into the working class where we belong... George Orwell 1903-1950,disgust,disgust
11,@mattsamatt @jasonosia #cmbyn does screen  August 4 &amp; 6 at #miff,anticipation,anticipation
12,@FS1 Get Donovan out of your soccer booth. He's awful. He's bitter. He makes me want to mute the tv. #horrid,disgust,disgust
13,@PUBATTLEGROUNDS how can u have sold so many copies but ur game has so many fucking bugs and mad lag issues. Optimize ur shit soon. ,disgust,disgust
14,Sadly I do not have a garden so I watch just for Nigel and Nellie #beautiful  #gardenersworld,anticipation,anticipation
15,Pressured. 😦,disgust,disgust
16,Yes #depression &amp; #anxiety are real but so is bein #grateful &amp; #happiness \nI choose how i wanna live MY life not some disorder,disgust,disgust
17,"@RichardTBurnett The hatred from the Left ought to concern everyone----who wants a police state-the left, so than can spy on all of us.",disgust,disgust
18,"That moment when people say you don't need medicine, it's mind over matter. You need to stop doing that. #bipolar ",disgust,disgust
19,@wine_mum_ @Bob_Lawblaw Please. Don't insult Goths.,disgust,disgust
20,@BB19Rewind What an F'ing liar ,disgust,disgust
21,May or may not have just pulled the legal card on these folks. #irritated,disgust,disgust
22,"@ARnews1936 @kdsats72 Americans do not spank their children, and they are a God fearing people who knows the biggest sin is hypocrisy.",trust,trust
23,"@breakoutEDU,@GooseChase, pirate style witnessed across the district!@burgessdave #backtoschool #engaged  #tlap #LeadLAP #genoastrong",anticipation,anticipation
24,Favorite character who's name starts with the letter M?\n #Prisonbreak5  #The100 #GreysAnatomy,anticipation,anticipation
25,"The bathroom sink just spat a spider at me.  I turned on the faucet, and a sizable spider flew up out of the drain.  #spiders #fb",disgust,surprise
26,I cannot see a rational way of bearing a grudge to him for that. I do not. Maybe because I do not live by Netflix and I do not care...,disgust,disgust
27,@AutoBant Is it just me that thinks it looks boring? ,disgust,disgust
28,@Monarch Really??? I've had to hang up! ,disgust,disgust
29,i would start my process now but i'm too busy enjoying this self hatred wave I'm on,disgust,disgust
30,When Jim Sheridan is standing next to you and you don't say A WORD!!! #facepalm #tonguetied ,disgust,disgust
31,"@realDonaldTrump No #racism, no #hatred , no #sectarianism  ... Only yes to love",trust,trust
32,@PlumRemson Sorry to offend. Just using some different levels of communications. I hear memes are popular in your circles.,anticipation,anticipation
33,sleep is and will always be one of the best remedies for a tired and weary soul,anticipation,anticipation
34,"@Topshop where is my order? Placed on Monday via express delivery, yet no sign!!! #annoyed #hurryup Your customer service queues are #awful",disgust,disgust
35,Obama and Biden would have watched the #Eclipse2017 together and Pete would have shared an awesome photo of them in their glasses. #cry,anticipation,disgust
36,"BUT, I have offended so many people with the idea that conflicts and value judgments are separate that we need to have a talk.",disgust,disgust
37,Any girl want a load? ;) dm me #horny #cum #snap #dmme #cumtribute #cocktribute,anticipation,anticipation
38,@SandraOldfield I LOVE the comics! #hilarious,surprise,surprise
39,"'if you really want something and you do nothing about it,you have no right to pout around if you don't get it.Kasi 'di ba you did nothing?'",anticipation,disgust
40,I need to start doing something with myself. #lazy ,disgust,disgust
41,@Bell - spelled exactly how it makes you feel 'better eat land line'. Talking to my mom this week has been impossible. #goodservice #rage,disgust,disgust
42,"@20committee John, what do you make of DJT's silence? He would usually be foaming at the mouth right now. Maybe he's constipated.",anticipation,anticipation
43,Only in #whitehorse do you see a hubcap going down 2nd ave all by itself #yukontumbleweed #yukon ,surprise,trust
44,"When you should be working, but you're shopping amazon prime deals instead... 😦",disgust,disgust
45,Karma is real bitch 🖕🏼you can't just be mean and do horrid things without paying the price 😂,anticipation,anticipation
46,@ReporterLaurenB @Examiner Agree with @Examiner or you are of a lower intelligence would be your message there then? #dreadful,disgust,disgust
47,@RealJamesWoods Rumor has you are #wellendowed #awesome! Truth is you are a #big 😲 #notsomuch so you know a bunch of #gaypeople #sowhat,disgust,disgust
48,Note to self: Don’t get discouraged by what you’re going through. Your time is coming. Where you are is not where you’re going to stay.,anticipation,anticipation
49,OMG we're eating drinking in a restaurant and  so is a baby!!! Quell horror #YummyMummiesAU,surprise,surprise
50,😍🤤😍🤤😍 #foodie #yummy #halalfood \n(twitter saw,surprise,surprise
51,psa: if you read while you're laying out you sort of forget about the boiling sun and the sweat poring down your face 🙌,disgust,disgust
52,@namivague huhu kak help me through all of this ,anticipation,anticipation
53,Super excited and Counting down the hours until I see @Pink tomorrow night!!! #awesomeness 😍,anticipation,anticipation
54,Beyond disappointed with @HeidiSomers clothing line and service. Lulu never asks questions about returns. Not getting money back. #horrible,disgust,disgust
55,"Earth's sixth mass extinction event under way, scientists warn **basically  caused by Islamic Muslim terrorism which Obama dem- rats back*",disgust,disgust
56,That was spooky! One of those water big roaches was crawling on my back. #terrible,disgust,disgust
57,"Keep a relentless eye on your goals! Perseverance, joyful dedication, and unwavering focus will get you @AmyLeighMercree",trust,trust
58,When @Jaclynhill and @JeffreeStar  snap chats get you through the day w/ their words of inspiration #blessed ❤️💕,trust,trust
59,Red Sox fans are #mad #onhere - it's almost like their All Star relief pitcher and 1st baseman both left with injuries in this game 🤷🏻‍♀️,disgust,disgust
60,@Daily_Express He suffers with depression again right wingers treat people with depression as lazy or filthy #ToryBritain,disgust,disgust
61,@dtptraffic - @MCDdelhi has occupied one full lane for toll collection permanently resulting in traffic snarl everyday on UP Link Road,disgust,disgust
62,Trere should be more meet cute ccenes where beautiful young people accidenta.ly.start eating the same cruller.,anticipation,anticipation
63,'Total Lunchgarden' is a grim insult,disgust,disgust
64,@maltsphere @politically_cor @PrisonPlanet @DonaldJTrumpJr There can be no true despair without hope. Isn't that what you're looking for?,disgust,disgust
65,@lukeWHC09 Hahaaa! Was fuming with that 😞😂,disgust,disgust
66,"@Haven check in is a pop up stall next to arcade, 2 staff, no alphabetical organisation and an hour long queue.... #greatstart #crap #bored",disgust,disgust
67,@Rinoa11 lel I already know the whole plot dont worry I would have warned you :D man... Cid tho... That bitch slapped Gabranths hand away,disgust,disgust
68,"Youth an embarrassing unavoidable affliction, thankfully temporary. (altered sentence from New York Times book review)",anticipation,anticipation
69,"Aw, bummer. @WckdLbrn (Maura Rankin) blocked me for calling her out as a #bully. Some people just #CantHandleTheTruth, can they?",disgust,disgust
70,@SnoopDogg is the man ,trust,trust
71,"Request MRI 2 years ago, Neuro only requested last year, I'm still waiting on appointment  #mssucks #healthcareFail",disgust,disgust
72,Snorkel time #fury key west,disgust,disgust
73,@tonyposnanski @realDonaldTrump a serious character flaw. Nowhere close to @POTUS44,disgust,disgust
74,"'I have a problem with authority.'\n\n'Oh, you mean you hate being told what to do?'\n\n'No. Authority figures just terrify me.'\n\n#SocialAnxiety",disgust,disgust
75,"Ground control to Captain Tom, eclipse was mind blowing #solareclipse2017 ",surprise,surprise
76,Lmao nah give that bitch a show 😂 she on her high horse and still miserable 😂😂😂,disgust,disgust
77,omg i'm soooo fucking fuming,disgust,disgust
78,Pages like AjPlus profit off our outrage... they serve no purpose other than to show us shit that pisses us off. Don't need that negativity,disgust,disgust
79,"@oliverdarcy yes, it's awful :(",disgust,disgust
80,Anytime I start getting sad about the fact that I might die alone I just look at how miserable 90% of my married friends are.,disgust,disgust
81,Trying my hardest not to curse people off. I look annoyed for a reason don't tell me to smile bitch!,disgust,disgust
82,@cnn please get Sebstian Gorka off of my tv.  The whole trump admin. needs to stop deflecting by talking about Hillary.  #awful,disgust,disgust
83,@WYP_FizAhmed Couldn't have delivered without you @WYP_FizAhmed - #inspiring #partnership #women,trust,trust
84,I need words of encouragement right now 😥,anticipation,anticipation
85,omg they said kyungsoo looked gloomy and his instant smile after that i'm melting,trust,trust
86,@geoffschwartz agreed but it had tessie by dropkicks playing outside of gameplay.  #awful,disgust,disgust
87,@BellinoNBC @FSMBlitz @bustedcoverage FYI speed trap on I-75/I-475 NB.Changes to 50 Mph . Slow down or receive a $120 ticket in mail! #angry,disgust,disgust
